Row ID,Order ID,Order Date,Customer Name,Country,City,Postal Code,Region,Product ID,Category,Sub-Category,Product Name, Unit Price ,Quantity, Profit ,Year,Month
49,CA-2016-169194,12/26/2016,Lena Hernandez,Delaware,Dover,19901,EAST,TEC-PH-10003988,Technology,Phones,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",$21.80 ,2,$43.60 ,2016,June
50,CA-2015-115742,12/27/2016,Darren Powers,Indiana,New Albany,47150,CENTRAL,OFF-BI-10004410,Office Supplies,Binders,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",$38.22 ,6,$229.32 ,2015,April
51,CA-2015-115742,12/28/2016,Darren Powers,Indiana,New Albany,47150,CENTRAL,OFF-LA-10002762,Office Supplies,Labels,Avery 485,$75.18 ,6,$451.08 ,2015,April
52,CA-2015-115742,12/29/2016,Darren Powers,Indiana,New Albany,47150,CENTRAL,FUR-FU-10001706,Furniture,Furnishings,Longer-Life Soft White Bulbs,$6.16 ,2,$12.32 ,2015,April
53,CA-2015-115742,12/30/2016,Darren Powers,Indiana,New Albany,47150,CENTRAL,FUR-CH-10003061,Furniture,Chairs,"Global Leather Task Chair, Black",$89.99 ,1,$89.99 ,2015,April
54,CA-2016-105816,12/31/2016,Janet Molinari,New York,New York City,10024,EAST,OFF-FA-10000304,Office Supplies,Fasteners,Advantus Push Pins,$15.26 ,7,$106.82 ,2016,December
55,CA-2016-105816,1/1/2017,Janet Molinari,New York,New York City,10024,EAST,TEC-PH-10002447,Technology,Phones,AT&T CL83451 4-Handset Telephone,"$1,029.95 ",5,"$5,149.75 ",2016,December
56,CA-2016-111682,1/2/2017,Ted Butterfield,New York,Troy,12180,EAST,OFF-ST-10000604,Office Supplies,Storage,Home/Office Personal File Carts,$208.56 ,6,"$1,251.36 ",2016,June
57,CA-2016-111682,1/3/2017,Ted Butterfield,New York,Troy,12180,EAST,OFF-PA-10001569,Office Supplies,Paper,Xerox 232,$32.40 ,5,$162.00 ,2016,June
58,CA-2016-111682,1/4/2017,Ted Butterfield,New York,Troy,12180,EAST,FUR-CH-10003968,Furniture,Chairs,Novimex Turbo Task Chair,$319.41 ,5,"$1,597.05 ",2016,June
59,CA-2016-111682,1/5/2017,Ted Butterfield,New York,Troy,12180,EAST,OFF-PA-10000587,Office Supplies,Paper,"Array Parchment Paper, Assorted Colors",$14.56 ,2,$29.12 ,2016,June
60,CA-2016-111682,1/6/2017,Ted Butterfield,New York,Troy,12180,EAST,TEC-AC-10002167,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,$30.00 ,2,$60.00 ,2016,June
61,CA-2016-111682,1/7/2017,Ted Butterfield,New York,Troy,12180,EAST,OFF-BI-10001460,Office Supplies,Binders,Plastic Binding Combs,$48.48 ,4,$193.92 ,2016,June
62,CA-2016-111682,1/8/2017,Ted Butterfield,New York,Troy,12180,EAST,OFF-AR-10001868,Office Supplies,Art,Prang Dustless Chalk Sticks,$1.68 ,1,$1.68 ,2016,June
63,CA-2015-135545,1/9/2017,Kunst Miller,California,Los Angeles,90004,WEST,TEC-AC-10004633,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",$13.98 ,2,$27.96 ,2015,November
64,CA-2015-135545,1/10/2017,Kunst Miller,California,Los Angeles,90004,WEST,OFF-BI-10001078,Office Supplies,Binders,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",$25.82 ,6,$154.94 ,2015,November
65,CA-2015-135545,1/11/2017,Kunst Miller,California,Los Angeles,90004,WEST,OFF-PA-10003892,Office Supplies,Paper,Xerox 1943,$146.73 ,3,$440.19 ,2015,November
66,CA-2015-135545,1/12/2017,Kunst Miller,California,Los Angeles,90004,WEST,FUR-FU-10000397,Furniture,Furnishings,Luxo Economy Swing Arm Lamp,$79.76 ,4,$319.04 ,2015,November
67,US-2015-164175,1/13/2017,Paul Stevenson,Illinois,Chicago,60610,CENTRAL,FUR-CH-10001146,Furniture,Chairs,"Global Value Mid-Back Manager's Chair, Gray",$213.12 ,5,"$1,065.58 ",2015,April
68,CA-2014-106376,1/14/2017,Brendan Sweed,Arizona,Gilbert,85234,WEST,OFF-AR-10002671,Office Supplies,Art,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige","$1,113.02 ",8,"$8,904.19 ",2014,December
69,CA-2014-106376,1/15/2017,Brendan Sweed,Arizona,Gilbert,85234,WEST,TEC-PH-10002726,Technology,Phones,netTALK DUO VoIP Telephone Service,$167.97 ,4,$671.87 ,2014,December
70,CA-2016-119823,1/16/2017,Karen Daniels,Virginia,Springfield,22153,SOUTH,OFF-PA-10000482,Office Supplies,Paper,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",$75.88 ,2,$151.76 ,2016,June
71,CA-2016-106075,1/17/2017,Henry MacAllister,New York,New York City,10009,EAST,OFF-BI-10004654,Office Supplies,Binders,Avery Binding System Hidden Tab Executive Style Index Sets,$4.62 ,1,$4.62 ,2016,September
72,CA-2017-114440,1/18/2017,Tracy Blumstein,Michigan,Jackson,49201,CENTRAL,OFF-PA-10004675,Office Supplies,Paper,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",$19.05 ,3,$57.15 ,2017,September
73,US-2015-134026,1/19/2017,Joel Eaton,Tennessee,Memphis,38109,SOUTH,FUR-CH-10000513,Furniture,Chairs,High-Back Leather Manager's Chair,$831.94 ,8,"$6,655.49 ",2015,April
74,US-2015-134026,1/20/2017,Joel Eaton,Tennessee,Memphis,38109,SOUTH,FUR-FU-10003708,Furniture,Furnishings,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",$97.04 ,2,$194.08 ,2015,April
75,US-2015-134026,1/21/2017,Joel Eaton,Tennessee,Memphis,38109,SOUTH,OFF-ST-10004123,Office Supplies,Storage,Safco Industrial Wire Shelving System,$72.78 ,1,$72.78 ,2015,April
76,US-2017-118038,1/22/2017,Ken Brennan,Texas,Houston,77041,CENTRAL,OFF-BI-10004182,Office Supplies,Binders,Economy Binders,$1.25 ,3,$3.74 ,2017,December
77,US-2017-118038,1/23/2017,Ken Brennan,Texas,Houston,77041,CENTRAL,FUR-FU-10000260,Furniture,Furnishings,"6"" Cubicle Wall Clock, Black",$9.71 ,3,$29.12 ,2017,December
78,US-2017-118038,1/24/2017,Ken Brennan,Texas,Houston,77041,CENTRAL,OFF-ST-10000615,Office Supplies,Storage,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",$27.24 ,3,$81.72 ,2017,December
79,US-2014-147606,1/25/2017,Joel Eaton,Texas,Houston,77070,CENTRAL,FUR-FU-10003194,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",$19.30 ,5,$96.50 ,2014,November
80,CA-2016-127208,1/26/2017,Stewart Carmichael,Alabama,Decatur,35601,SOUTH,OFF-AP-10002118,Office Supplies,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",$208.16 ,1,$208.16 ,2016,June
81,CA-2016-127208,1/27/2017,Stewart Carmichael,Alabama,Decatur,35601,SOUTH,OFF-BI-10002309,Office Supplies,Binders,Avery Heavy-Duty EZD  Binder With Locking Rings,$16.74 ,3,$50.22 ,2016,June
82,CA-2014-139451,1/28/2017,Duane Noonan,California,San Francisco,94122,WEST,OFF-AR-10002053,Office Supplies,Art,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",$14.90 ,5,$74.50 ,2014,October
83,CA-2014-139451,1/29/2017,Duane Noonan,California,San Francisco,94122,WEST,OFF-ST-10002370,Office Supplies,Storage,"Sortfiler Multipurpose Personal File Organizer, Black",$21.39 ,1,$21.39 ,2014,October
84,CA-2015-149734,1/30/2017,Julie Creighton,North Carolina,Durham,27707,SOUTH,OFF-EN-10000927,Office Supplies,Envelopes,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,$200.98 ,7,"$1,406.89 ",2015,September
85,US-2017-119662,1/31/2017,Christopher Schild,Illinois,Chicago,60623,CENTRAL,OFF-ST-10003656,Office Supplies,Storage,Safco Industrial Wire Shelving,$230.38 ,3,$691.13 ,2017,November
86,CA-2017-140088,2/1/2017,Patrick O'Donnell,South Carolina,Columbia,29203,SOUTH,FUR-CH-10000863,Furniture,Chairs,Novimex Swivel Fabric Task Chair,$301.96 ,2,$603.92 ,2017,May
87,CA-2017-155558,2/2/2017,Paul Gonzalez,Minnesota,Rochester,55901,CENTRAL,TEC-AC-10001998,Technology,Accessories,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,$19.99 ,1,$19.99 ,2017,October
88,CA-2017-155558,2/3/2017,Paul Gonzalez,Minnesota,Rochester,55901,CENTRAL,OFF-LA-10000134,Office Supplies,Labels,Avery 511,$6.16 ,2,$12.32 ,2017,October
89,CA-2016-159695,2/4/2017,Gary Mitchum,Texas,Houston,77095,CENTRAL,OFF-ST-10003442,Office Supplies,Storage,Eldon Portable Mobile Manager,$158.37 ,7,"$1,108.58 ",2016,April
90,CA-2016-109806,2/5/2017,Jim Sink,California,Los Angeles,90036,WEST,OFF-AR-10004930,Office Supplies,Art,Turquoise Lead Holder with Pocket Clip,$20.10 ,3,$60.30 ,2016,September
91,CA-2016-109806,2/6/2017,Jim Sink,California,Los Angeles,90036,WEST,TEC-PH-10004093,Technology,Phones,Panasonic Kx-TS550,$73.58 ,2,$147.17 ,2016,September
92,CA-2016-109806,2/7/2017,Jim Sink,California,Los Angeles,90036,WEST,OFF-PA-10000304,Office Supplies,Paper,Xerox 1995,$6.48 ,1,$6.48 ,2016,September
93,CA-2015-149587,2/8/2017,Karl Braun,Minnesota,Minneapolis,55407,CENTRAL,OFF-PA-10003177,Office Supplies,Paper,Xerox 1999,$12.96 ,2,$25.92 ,2015,January
94,CA-2015-149587,2/9/2017,Karl Braun,Minnesota,Minneapolis,55407,CENTRAL,FUR-FU-10003799,Furniture,Furnishings,"Seth Thomas 13 1/2"" Wall Clock",$53.34 ,3,$160.02 ,2015,January
95,CA-2015-149587,2/10/2017,Karl Braun,Minnesota,Minneapolis,55407,CENTRAL,OFF-BI-10002852,Office Supplies,Binders,Ibico Standard Transparent Covers,$32.96 ,2,$65.92 ,2015,January
96,US-2017-109484,2/11/2017,Roger Barcio,Oregon,Portland,97206,WEST,OFF-BI-10004738,Office Supplies,Binders,Flexible Leather- Look Classic Collection Ring Binder,$5.68 ,1,$5.68 ,2017,November
97,CA-2017-161018,2/12/2017,Parhena Norris,New York,New York City,10009,EAST,FUR-FU-10000629,Furniture,Furnishings,9-3/4 Diameter Round Wall Clock,$96.53 ,7,$675.71 ,2017,November
98,CA-2017-157833,2/13/2017,Katherine Ducich,California,San Francisco,94122,WEST,OFF-BI-10001721,Office Supplies,Binders,Trimflex Flexible Post Binders,$51.31 ,3,$153.94 ,2017,June
99,CA-2016-149223,2/14/2017,Elpida Rittenbach,Minnesota,Saint Paul,55106,CENTRAL,OFF-AP-10000358,Office Supplies,Appliances,Fellowes Basic Home/Office Series Surge Protectors,$77.88 ,6,$467.28 ,2016,September
100,CA-2016-158568,2/15/2017,Rick Bensley,Illinois,Chicago,60610,CENTRAL,OFF-PA-10003256,Office Supplies,Paper,Avery Personal Creations Heavyweight Cards,$64.62 ,7,$452.37 ,2016,August
101,CA-2016-158568,2/16/2017,Rick Bensley,Illinois,Chicago,60610,CENTRAL,TEC-AC-10001767,Technology,Accessories,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,$95.98 ,3,$287.93 ,2016,August
102,CA-2016-158568,2/17/2017,Rick Bensley,Illinois,Chicago,60610,CENTRAL,OFF-BI-10002609,Office Supplies,Binders,Avery Hidden Tab Dividers for Binding Systems,$1.79 ,3,$5.36 ,2016,August
103,CA-2016-129903,2/18/2017,Gary Zandusky,Minnesota,Rochester,55901,CENTRAL,OFF-PA-10004040,Office Supplies,Paper,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),$23.92 ,4,$95.68 ,2016,December
104,US-2015-156867,2/19/2017,Lena Cacioppo,Colorado,Aurora,80013,WEST,TEC-AC-10001552,Technology,Accessories,Logitech K350 2.4Ghz Wireless Keyboard,$238.90 ,6,"$1,433.38 ",2015,November
105,US-2015-156867,2/20/2017,Lena Cacioppo,Colorado,Aurora,80013,WEST,FUR-FU-10004006,Furniture,Furnishings,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",$102.36 ,3,$307.08 ,2015,November
106,US-2015-156867,2/21/2017,Lena Cacioppo,Colorado,Aurora,80013,WEST,OFF-BI-10002794,Office Supplies,Binders,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",$36.88 ,3,$110.65 ,2015,November
107,CA-2017-119004,2/22/2017,Janet Martin,North Carolina,Charlotte,28205,SOUTH,TEC-AC-10003499,Technology,Accessories,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,$74.11 ,8,$592.90 ,2017,November
108,CA-2017-119004,2/23/2017,Janet Martin,North Carolina,Charlotte,28205,SOUTH,TEC-PH-10002844,Technology,Phones,Speck Products Candyshell Flip Case,$27.99 ,1,$27.99 ,2017,November
109,CA-2017-119004,2/24/2017,Janet Martin,North Carolina,Charlotte,28205,SOUTH,OFF-AR-10000390,Office Supplies,Art,Newell Chalk Holder,$3.30 ,1,$3.30 ,2017,November
110,CA-2015-129476,2/25/2017,Pete Armstrong,Illinois,Orland Park,60462,CENTRAL,TEC-AC-10000844,Technology,Accessories,Logitech Gaming G510s - Keyboard,$339.96 ,5,"$1,699.80 ",2015,October
111,CA-2017-146780,2/26/2017,Cynthia Voltz,New York,New York City,10035,EAST,FUR-FU-10001934,Furniture,Furnishings,Magnifier Swing Arm Lamp,$41.96 ,2,$83.92 ,2017,December
112,CA-2016-128867,2/27/2017,Clay Ludtke,Iowa,Urbandale,50322,CENTRAL,OFF-AR-10000380,Office Supplies,Art,"Hunt PowerHouse Electric Pencil Sharpener, Blue",$75.96 ,2,$151.92 ,2016,November
113,CA-2016-128867,2/28/2017,Clay Ludtke,Iowa,Urbandale,50322,CENTRAL,OFF-BI-10003981,Office Supplies,Binders,"Avery Durable Plastic 1"" Binders",$27.24 ,6,$163.44 ,2016,November
114,CA-2014-115259,3/1/2017,Ryan Crowe,Ohio,Columbus,43229,EAST,OFF-FA-10000621,Office Supplies,Fasteners,"OIC Colored Binder Clips, Assorted Sizes",$40.10 ,14,$561.34 ,2014,August
115,CA-2014-115259,3/2/2017,Ryan Crowe,Ohio,Columbus,43229,EAST,OFF-EN-10002600,Office Supplies,Envelopes,"Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2",$4.72 ,2,$9.44 ,2014,August
116,CA-2014-115259,3/3/2017,Ryan Crowe,Ohio,Columbus,43229,EAST,OFF-PA-10004965,Office Supplies,Paper,Xerox 1921,$23.98 ,3,$71.93 ,2014,August
117,CA-2014-115259,3/4/2017,Ryan Crowe,Ohio,Columbus,43229,EAST,OFF-EN-10002504,Office Supplies,Envelopes,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",$130.46 ,6,$782.78 ,2014,August
118,CA-2015-110457,3/5/2017,Dave Kipp,Washington,Seattle,98103,WEST,FUR-TA-10001768,Furniture,Tables,Hon Racetrack Conference Tables,$787.53 ,3,"$2,362.59 ",2015,March
119,US-2015-136476,3/6/2017,Greg Guthrie,Tennessee,Bristol,37620,SOUTH,OFF-BI-10003650,Office Supplies,Binders,GBC DocuBind 300 Electric Binding Machine,$157.79 ,1,$157.79 ,2015,April
120,CA-2016-103730,3/7/2017,Steven Cartwright,Delaware,Wilmington,19805,EAST,FUR-FU-10002157,Furniture,Furnishings,Artistic Insta-Plaque,$47.04 ,3,$141.12 ,2016,June
121,CA-2016-103730,3/8/2017,Steven Cartwright,Delaware,Wilmington,19805,EAST,OFF-BI-10003910,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,$30.84 ,4,$123.36 ,2016,June
122,CA-2016-103730,3/9/2017,Steven Cartwright,Delaware,Wilmington,19805,EAST,OFF-ST-10000777,Office Supplies,Storage,"Companion Letter/Legal File, Black",$226.56 ,6,"$1,359.36 ",2016,June
123,CA-2016-103730,3/10/2017,Steven Cartwright,Delaware,Wilmington,19805,EAST,OFF-EN-10002500,Office Supplies,Envelopes,Globe Weis Peel & Seel First Class Envelopes,$115.02 ,9,"$1,035.18 ",2016,June
124,CA-2016-103730,3/11/2017,Steven Cartwright,Delaware,Wilmington,19805,EAST,TEC-PH-10003875,Technology,Phones,KLD Oscar II Style Snap-on Ultra Thin Side Flip Synthetic Leather Cover Case for HTC One HTC M7,$68.04 ,7,$476.28 ,2016,June
